subdomain,business_name,address,phone,Website,maps_url
handyman-plumbing-and-heating,Handyman Plumbing and Heating,,+1518-947-0613,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-73.9208429!3d42.2022695!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89ddbb4d1e98ca6d%3A0x55648a92ed3ccfd6!2sHandyman%20Plumbing%20and%20Heating!5e0!3m2!1sen!2sus!4v1732017853273!5m2!1sen!2sus
docs-plumbing-handyman-service,Doc's Plumbing & Handyman Service,"238 Mitchell Hollow Rd, Windham, NY 12496",+1845-803-1352,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-74.24570039999999!3d42.3238699!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89dc4bf5eb4f8371%3A0x83189c8fd54fa396!2sDoc's%20Plumbing%20%26%20Handyman%20Service!5e0!3m2!1sen!2sus!4v1732017853273!5m2!1sen!2sus
leghorn-plumbing-heating,Leghorn Plumbing & Heating,,+1518-610-4486,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-74.1330625!3d42.243106999999995!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x447311d8159921f5%3A0xf871ebf155c5f9b2!2sLeghorn%20Plumbing%20%26%20Heating!5e0!3m2!1sen!2sus!4v1732017853273!5m2!1sen!2sus
gemini-plumbing-heating-excvtn,Gemini Plumbing & Heating & Excvtn,"153 Frank Hitchcock Rd, Cairo, NY 12413",+1518-622-9829,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-74.0187406!3d42.3170127!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89ddb9d29b433d57%3A0xfbd6350f3489da54!2sGemini%20Plumbing%20%26%20Heating%20%26%20Excvtn!5e0!3m2!1sen!2sus!4v1732017853273!5m2!1sen!2sus
millers-plumbing,Miller's plumbing,,+1518-949-0259,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-73.8696454!3d42.5049724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x65ad01ec341c87ff%3A0xd20f6f072b854e4e!2sMiller's%20plumbing!5e0!3m2!1sen!2sus!4v1732017853273!5m2!1sen!2sus
garzones-plumbing-heating,Garzone's Plumbing & Heating,"477 High Peak Rd, East Windham, NY 12439",+1518-622-9474,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-74.1593424!3d42.3365645!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89ddb5d9cb2bd75d%3A0xb659922522d49b01!2sGarzone's%20Plumbing%20%26%20Heating!5e0!3m2!1sen!2sus!4v1732017853273!5m2!1sen!2sus
dpl-plumbing-heating-corporation,DPL Plumbing & Heating Corporation,"4806 NY-23, Windham, NY 12496",+1518-734-5539,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-74.2088813!3d42.3039056!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89ddb3572169394f%3A0xeb025bc3aee913d!2sDPL%20Plumbing%20%26%20Heating%20Corporation!5e0!3m2!1sen!2sus!4v1732017853274!5m2!1sen!2sus
huber-enterprises,Huber Enterprises,"30 Brown Crossing Rd, Catskill, NY 12414",,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-73.862719!3d42.2380314!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89ddbd9521c55555%3A0xdfc26f45271d6b0d!2sHuber%20Enterprises!5e0!3m2!1sen!2sus!4v1732017853274!5m2!1sen!2sus
twin-county-plumbing-heating,Twin County Plumbing & Heating,"97 Spring St, Catskill, NY 12414",+1518-943-2307,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-73.861947!3d42.22175!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89ddbd9e51b37221%3A0x888ef9db1568fe78!2sTwin%20County%20Plumbing%20%26%20Heating!5e0!3m2!1sen!2sus!4v1732017853274!5m2!1sen!2sus
exclusive-plumbing-and-heating,Exclusive Plumbing and Heating,,+1607-386-2440,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-75.5099314!3d42.3821413!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89db97782fcd3057%3A0xb34e32200f43be27!2sExclusive%20Plumbing%20and%20Heating!5e0!3m2!1sen!2sus!4v1732017853274!5m2!1sen!2sus
