subdomain,business_name,address,phone,Website,maps_url
iv-plumbing-heating-renovations,IV Plumbing Heating & Renovations,"16 Maple Vale, Beauly IV4 7ET",+447954709024,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-4.464892!3d57.4783251!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x488f0b1e5199905d%3A0xe38a391a68587dee!2sIV%20Plumbing%20Heating%20%26%20Renovations!5e0!3m2!1sen!2sus!4v1732182394323!5m2!1sen!2sus
cowe-plumbing-and-heating-ltd,Cowe Plumbing and Heating LTD,,+447867508876,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-4.2822277!3d57.3593562!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x488c33cba3f10001%3A0x130e69850fe9d64d!2sCowe%20Plumbing%20and%20Heating%20LTD!5e0!3m2!1sen!2sus!4v1732182394323!5m2!1sen!2sus
njm-plumbing-heating,NJM Plumbing & Heating,"13 Fairways Ave, Muir of Ord IV6 7PZ",+447810040338,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-4.4582819!3d57.5139644!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x488f0bb6a67ee415%3A0x3294b4f7bb309505!2sNJM%20Plumbing%20%26%20Heating!5e0!3m2!1sen!2sus!4v1732182394323!5m2!1sen!2sus
ea-plumbing-and-heating-services-limited,Ea Plumbing And Heating Services Limited,"29 Glenburn Dr, Inverness IV2 4NE",+447808550975,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-4.2247327!3d57.4652162!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x488f715c8684b33d%3A0x41c6e65bf45e25c1!2sEa%20Plumbing%20And%20Heating%20Services%20Limited!5e0!3m2!1sen!2sus!4v1732182394323!5m2!1sen!2sus
david-rennie-plumbing-heating-ltd,David Rennie Plumbing & Heating Ltd,"Wyvis Cottage, Strathpeffer IV14 9AF",+447717228832,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-4.4905441!3d57.6120904!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x488fa0458cc1314d%3A0x34179624aba4f514!2sDavid%20Rennie%20Plumbing%20%26%20Heating%20Ltd!5e0!3m2!1sen!2sus!4v1732182394323!5m2!1sen!2sus
domestic-plumbing-heating,Domestic Plumbing & Heating,"36, 4 Telford St, Inverness IV3 5LB",+447840367745,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-4.238411!3d57.480546399999994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x488f71e429ba8823%3A0x43baf8e864acf2da!2sDomestic%20Plumbing%20%26%20Heating!5e0!3m2!1sen!2sus!4v1732182394323!5m2!1sen!2sus
mazs-plumbing-heating-ltd,Mazs Plumbing & Heating Ltd,,+447821411296,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-3.2855532!3d57.564158!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x67ad36031eedb7bb%3A0x794821cc14abcc0c!2sMazs%20Plumbing%20%26%20Heating%20Ltd!5e0!3m2!1sen!2sus!4v1732182394323!5m2!1sen!2sus
jonos-plumbing-and-heating,Jono’s Plumbing and Heating,"High St, Conon Bridge, Dingwall IV7 8AZ",+447912676690,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-4.4381091!3d57.5669736!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x488fa1f5c3835163%3A0x8c8cb82622f95701!2sJono%E2%80%99s%20Plumbing%20and%20Heating!5e0!3m2!1sen!2sus!4v1732182394324!5m2!1sen!2sus
b-b-warrender-plumbing-and-heating,B & B Warrender Plumbing and Heating,"14 Toch-Hill Pl, Fordoun, Laurencekirk AB30 1NY",+447917579319,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-2.4156464!3d56.874282199999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x48869098131ecc55%3A0xc2b742fe8bd4925d!2sB%20%26%20B%20Warrender%20Plumbing%20and%20Heating!5e0!3m2!1sen!2sus!4v1732182394324!5m2!1sen!2sus
highland-perthsire-plumbing-and-heating,Highland Perthsire Plumbing and Heating,"Annfield, Gladstone Terrace, Dunkeld PH8 0DP",+447910885740,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024!2d-3.5749239!3d56.5566658!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x48861959ca2f6cc9%3A0x1dd397b19cb747e4!2sHighland%20Perthsire%20Plumbing%20and%20Heating!5e0!3m2!1sen!2sus!4v1732182394324!5m2!1sen!2sus
